System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization,Training cost trends,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours
VGG16,Vision,Image classification,Karen Simonyan; Andrew Zisserman,Highly cited,,,https://arxiv.org/abs/1409.1556,86263.00,Very Deep Convolutional Networks for Large-Scale Image Recognition,2014-09-04,University of Oxford,138000000.00,"Source: Table 2
https://arxiv.org/abs/1409.1556",9253440000000000000.00,"2.5 weeks * 4 Titan Black GPUs * 0.30 utilization

Section 3.3: ""On a system equipped with
four NVIDIA Titan Black GPUs, training a single net took 2–3 weeks depending on the architecture.""



",ILSVRC-2012,,1300000,"""In this section, we present the image classification results achieved by the described
ConvNet architectures on the ILSVRC-2012 dataset (which was used for ILSVRC 2012–2014 challenges). The dataset includes images of 1000 classes, and is split into three sets: training (1.3M images), validation (50K images), and testing (100K images with held-out class labels).""",,15300000000.00,"""Remarkably, although the depth is significantly increased, the 152-layer ResNet (11.3 billion FLOPs) still has lower complexity than VGG-16/19 nets (15.3/19.6 billion FLOPs).""

Source: https://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/He_Deep_Residual_Learning_CVPR_2016_paper.pdf",,,NVIDIA GTX Titan Black,,$82.80,,Academia,,,2024-03-01 09:13,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,Academia,,,,0
VGG19,Vision,,"K Simonyan, A Zisserman",Highly cited,,,https://arxiv.org/abs/1409.1556,86263.00,Very Deep Convolutional Networks for Large-Scale Image Recognition,2014-09-04,University of Oxford,144000000.00,"Source: Table 2
https://arxiv.org/abs/1409.1556",,,ILSVRC-2012,,1300000,"""In this section, we present the image classification results achieved by the described
ConvNet architectures on the ILSVRC-2012 dataset (which was used for ILSVRC 2012–2014 challenges). The dataset includes images of 1000 classes, and is split into three sets: training (1.3M images), validation (50K images), and testing (100K images with held-out class labels).""",,19600000000.00,"""Remarkably, although the depth is significantly increased, the 152-layer ResNet (11.3 billion FLOPs) still has lower complexity than VGG-16/19 nets (15.3/19.6 billion FLOPs).""

Source: https://www.cv-foundation.org/openaccess/content_cvpr_2016/papers/He_Deep_Residual_Learning_CVPR_2016_paper.pdf",,,,,,,Academia,,,2024-03-01 09:13,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,Academia,,,,0
RNNsearch-50*,Language,Translation,"D Bahdanau, K Cho, Y Bengio",Highly cited,,,https://arxiv.org/abs/1409.0473,24541.00,Neural Machine Translation by Jointly Learning to Align and Translate,2014-09-01,"Jacobs University Bremen,Université de Montréal",,,1555200000000000000.00,"From https://openai.com/blog/ai-and-compute/ Appendix.

0.018 pfs-days
(86400*10^15*0.018)

252 hours in a Quadro K-6000 GPU",WMT'14 + selection,,348000000,"[WORDS]
""WMT ’14 contains the following English-French parallel corpora: Europarl (61M words), news
commentary (5.5M), UN (421M) and two crawled corpora of 90M and 272.5M words respectively,
totaling 850M words. Following the procedure described in Cho et al. (2014a), we reduce the size of
the combined corpus to have 348M words using the data selection method by Axelrod et al. (2011).""",,,,,,,,$81.48,,Academia,,,2024-03-05 07:43,Robi Rahman,,,"Germany,Canada",,,,,,,,,,,,"Academia,Academia",,,,0
AdClickNet,Other,,"X He, J Pan, O Jin, T Xu, B Liu, T Xu, Y Shi",,,,https://dl.acm.org/doi/10.1145/2648584.2648589,813.00,Practical Lessons from Predicting Clicks on Ads at Facebook,2014-08-24,Facebook,,,,,,,,,,,,,,,,,,Industry,,,2024-03-01 09:13,Robi Rahman,,,Multinational,,,,,,,,,,,,Industry,,,,0
SmooCT,Games,,"Johannes Heinrich, David Silver",SOTA improvement,First RL system to achieve superhuman level at Poker Limit Texas Hold Em,,https://www.semanticscholar.org/paper/Self-play-Monte-Carlo-tree-search-in-computer-poker-Heinrich-Silver/7b687599b4425aa959036071030e1212a3b359c7,16.00,Self-Play Monte-Carlo Tree Search in Computer Poker,2014-07-01,University College London (UCL),,,69000000000000000.00,"""Each three-player agent was trained for about 12 billion episodes, requiring about 48 hours of training time [...] on a modern computer without using parallelization""

Assume an Intel i7 so 400e9 FLOP/s.
6.9e16 = 400e9*60*60*48",,,12000000000,"""Each three-player agentwas trained for about 12 billion episodes""

An episode seems to be a round of betting.",,,,48.0,,,,,,Academia,,,2024-01-22 14:05,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,Academia,,,,0
Multiresolution CNN,Video,Video classification,"A Karpathy, G Toderici, S Shetty, T Leung",Highly cited,,,https://ieeexplore.ieee.org/document/6909619,6012.00,Large-Scale Video Classification with Convolutional Neural Networks,2014-06-23,"Google,Stanford University",126125568.00,"""Using shorthand notation, the full [single frame] architecture is C(96, 11, 3)-N-P-C(256, 5, 1)-N-P-C(384, 3, 1)-C(384, 3, 1)-C(256, 3, 1)-P-FC(4096)-FC(4096), where C(d, f, s) indicates a convolutional layer with d filters of spatial size f ×f, applied to the input with stride s""

Two such single-frame architectures are concatenated as shown in figure 2

""Since the input is only of half the
spatial size as the full-frame models, we take out the last
pooling layer to ensure that both streams still terminate in a
layer of size 7×7×256. ""

We assume the input are T=10 frames with C=3 color channels each

2*(256*(10*3*5*5+1) + 384*(256*3*3+1) + 384*(384*3*3+1) + 256*(384*3*3+1)) + (2*7*7*256 + 1)*4096 + (4096+1)*4096



",,,,,50000000,"""We further estimate the size of our dataset of sampled frames to be on the order of 50 million examples and that our networks have each seen approximately 500 million examples throughout the training period in total.""

So 5e+7 datapoints and 10 epochs.",,,,,,,,,,Industry,,,2024-03-01 09:19,Robi Rahman,,,"Multinational,United States of America",,,,,,,,,,,,"Industry,Academia",,,,0
DeepFace,Vision,Face verification,"Y Taigman, M Yang, MA Ranzato",Highly cited,,,https://ieeexplore.ieee.org/document/6909616,5833.00,DeepFace: Closing the Gap to Human-Level Performance in Face Verification,2014-06-23,"Tel Aviv University,Facebook",,,,,,,,,,,,,,,,,,Industry,,,2024-02-01 09:59,Robi Rahman,,,"Israel,Multinational",,,,,,,,,,,,"Academia,Industry",,,,0
RNN-WER,Speech,Speech recognition,"Alex Graves, Navdeep Jaitly","Highly cited,SOTA improvement","""Finally, by combining the new model with a baseline, we
have achieved state-of-the-art accuracy on the Wall Street
Journal corpus for speaker independent recognition.""",,https://proceedings.mlr.press/v32/graves14.html,2805.00,Towards End-To-End Speech Recognition with Recurrent Neural Networks,2014-06-22,"DeepMind,University of Toronto",26500000.00,"""The network had five levels of bidirectional LSTM hidden layers, with 500 cells in each layer, giving a total of ∼ 26.5M weights.""",,,WSJ,"""The experiments were carried out on the Wall Street Journal (WSJ) corpus (available as LDC corpus LDC93S6B
and LDC94S13B). The RNN was trained on both the 14
hour subset ‘train-si84’ and the full 81 hour set""

",1100000,"dataset is 81 hours

At 228 wpm (https://docs.google.com/document/d/1G3vvQkn4x_W71MKg0GmHVtzfd9m0y3_Ofcoew0v902Q/edit)
that's 81*228*60 = 1,108,080

another source says WSJ contains 37k sentences, so this would be ~30 words per sentence which seems high but roughly right: https://www.arxiv-vanity.com/papers/1903.00216/",,,,,,,Supervised,,,,Likely,"This paper presents a speech recognition system that directly transcribes audio data with text, without requiring an intermediate phonetic representation. The system is based on a combination of the deep bidirectional LSTM recurrent neural network architecture and the Connectionist Temporal Classification objective function. A modification to the objective function is introduced that trains the network to minimise the expectation of an arbitrary transcription loss function. This allows a direct optimisation of the word error rate, even in the absence of a lexicon or language model. The system achieves a word error rate of 27.3% on the Wall Street Journal corpus with no prior linguistic information, 21.9% with only a lexicon of allowed words, and 8.2% with a trigram language model. Combining the network with a baseline system further reduces the error rate to 6.7%.",2024-02-21 22:25,Anonymous,,0,"United Kingdom of Great Britain and Northern Ireland,Canada",,,,,,,,,,,,"Industry,Academia",,,,0
SPPNet,Vision,Image classification,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",Highly cited,,,https://arxiv.org/abs/1406.4729,9317.00,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,2014-06-18,"Microsoft,Xi’an Jiaotong University,University of Science and Technology of China",,,3411072000000000000.00,"""All networks in this paper can be
trained on a single GeForce GTX Titan GPU (6 GB memory) within two to four weeks.""
4.7e12 FLOP/s * 4* 7*24*60*60 seconds * 0.3 utilisation",Imagenet-1k,,1280000,"Section 3.1: ""We train the networks on the 1000-category training
set of ImageNet 2012.""",,,,672.0,"""All networks in this paper can be trained on a single GeForce GTX Titan GPU (6 GB memory) within two to four weeks.""",NVIDIA GeForce GTX TITAN,,$65.07,,Industry,,,2024-03-01 09:19,Robi Rahman,,,"Multinational,China,China",,,,,,,,,,,,"Industry,Academia,Academia",,,,0
GANs,Image generation,Image generation,"Ian J. Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley, Sherjil Ozair, Aaron Courville, Yoshua Bengio",Highly cited,,,https://arxiv.org/abs/1406.2661,36870.00,Generative Adversarial Networks,2014-06-10,Université de Montréal,,The paper outlines the G-D framework but doesn't provide information about the structures of their generator and discriminator.,518400000000000000.00,"From https://openai.com/blog/ai-and-compute/ Appendix

""Less than 0.006 pfs-days""
(86400*10^15*0.006)

Seems extremely speculative, unless someone at OpenAI privately corresponded with the authors. There is no information about compute or training in the GANs paper.",CIFAR-10,,60000,"""We trained adversarial nets an a range of datasets including MNIST[23], the Toronto Face Database (TFD) [28], and CIFAR-10 [21].""

MNIST has 60k images 
https://en.wikipedia.org/wiki/MNIST_database

TFD seems to have 2925 examples (?)
https://www.cs.toronto.edu/~urtasun/courses/CSC411/hw3-411.pdf

CIFAR-10 has 60k images
https://www.cs.toronto.edu/~kriz/cifar.html

",,,,,,,,$6.09,,Academia,Speculative,,2024-03-05 07:43,Robi Rahman,,,Canada,,,,,,,,,,,,Academia,,,,0
Two-stream ConvNets for action recognition,Video,Video classification,"Karen Simonyan, Andrew Zisserman",Highly cited,,,https://arxiv.org/abs/1406.2199,6842.00,Two-Stream Convolutional Networks for Action Recognition in Videos,2014-06-09,University of Oxford,,,,,,,,,,,,,,,,,,Academia,,,2024-02-01 09:59,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,Academia,,,,0
GRUs,Language,,"K Cho, B Van Merriënboer, C Gulcehre",Highly cited,,,https://arxiv.org/abs/1406.1078,20106.00,Learning Phrase Representations using RNN Encoder-Decoder for Statistical Machine Translation,2014-06-03,"University of Montreal,Jacobs University,University of Maine",,,,,,,,,,,,,,,,,,Academia,,,2024-03-01 09:24,Robi Rahman,,,"Canada,Germany,United States of America",,,,,,,,,,,,"Academia,Academia,Academia",,,,0
Dropout (2014),"Vision,Speech,Biology,Language",,"Nitish Shrivasta, Geoffrey Hinton, Alex Krizhevsky",Highly cited,,,https://jmlr.org/papers/v15/srivastava14a.html,35145.00,Dropout: A Simple Way to Prevent Neural Networks from Overfitting,2014-06-01,University of Toronto,,,,,,,,,,,,,,,,,,Academia,,,2024-01-30 17:05,Robi Rahman,,1,Canada,,,,,,,,,,,,Academia,,,,0
HyperNEAT,Games,Atari,"M Hausknecht, J Lehman",SOTA improvement,"""Neuroevolution ameliorates these problems and evolved policies achieve state-of-the-art results, even surpassing human high scores on three games""",,https://ieeexplore.ieee.org/abstract/document/6756960,195.00,A Neuroevolution Approach to General Atari Game Playing,2014-03-05,University of Texas at Austin,239712.00,"""The ANN consists of three layers (Fig. 3): a substrate layer inwhich information from the game screen (raw pixels, objects, ornoise) is given as input to the network; a processing layer whichadds a nonlinear internal representation; and a nonlinear outputlayer from which actions are read and conveyed to the Atari em-ulator. Both the input and output layers are fully connected tothe processing layer. The substrate dimensionality of the inputand processinglayers is 810 in the case of the object repre-sentation and 1621 for the pixel and noise representations.3The output layer consists of a 33 substrate mirroring the ninepossible directions of the Atari 2600 joystick and a single noderepresenting thefire button""",,,,,,,,,,,,,,,,Academia,,,2024-02-21 22:23,Robi Rahman,,,United States of America,,,,,,,,,,,,Academia,,,,0
DBN for NLP,Language,Text classification,"R Sarikaya, GE Hinton, A Deoras",,,,https://ieeexplore.ieee.org/document/6737243,445.00,Application of Deep Belief Networks for Natural Language Understanding,2014-02-11,"Microsoft,University of Toronto",1021535.00,"Assuming 1000 input features, 35 classes and 3 hidden layers of 500 units each",,,,,178000,The training data has 27K automatically transcribed utterances amounting to 178K words.,,,,,,,,,,Industry,,,2024-01-11 12:07,Robi Rahman,,,"Multinational,Canada",,,,,,,,,,,,"Industry,Academia",,,,0
GloVe (6B),Language,Semantic embedding,"J Pennington, R Socher, CD Manning",Highly cited,,,https://nlp.stanford.edu/projects/glove/,28813.00,GloVe: Global Vectors for Word Representation,2014-01-01,Stanford University,120000000.00,400k vocab * 300 vector dimensions,,"""The total run-time is split between populating X
and training the model. The former depends on
many factors, including window size, vocabulary
size, and corpus size. Though we did not do so,
this step could easily be parallelized across multiple machines (see, e.g., Lebret and Collobert
(2014) for some benchmarks). Using a single
thread of a dual 2.1GHz Intel Xeon E5-2658 machine, populating X with a 10 word symmetric
context window, a 400,000 word vocabulary, and
a 6 billion token corpus takes about 85 minutes.
Given X, the time it takes to train the model depends on the vector size and the number of iterations. For 300-dimensional vectors with the above settings (and using all 32 cores of the above machine), a single iteration takes 14 minutes. See Fig. 4 for a plot of the learning curve""

""We run 50 iterations for vectors smaller than
300 dimensions, and 100 iterations otherwise (see
Section 4.6 for more details about the convergence
rate).""

Details of dual 2.1GHz Intel Xeon E5-2658 machine:
https://www.intel.com/content/www/us/en/products/sku/61428/intel-xeon-processor-e52658-20m-2-10-ghz-8-0-gts-intel-qpi/specifications.html",Gigaword5 + Wikipedia2014,,6000000000,"""We trained our model on five corpora of varying sizes: a 2010 Wikipedia dump with 1 billion tokens; a 2014 Wikipedia dump with 1.6 billion tokens; Gigaword 5 which has 4.3 billion tokens; the combination Gigaword5 + Wikipedia2014, which has 6 billion tokens; and on 42 billion tokens of web data, from Common Crawl

[To demonstrate the scalability of the model, we also trained it on a much larger sixth corpus, containing 840 billion tokens of web data, but in this case we did not lowercase the vocabulary, so the results are not directly comparable.]""",,,Embeddings are precalculated,,"Section 4.6 in original paper (https://nlp.stanford.edu/pubs/glove.pdf)

85 min to populate coocurrence matrix
+ 25 training iterations

Each iteration takes 14 minutes on 32 cores ",,,,,Academia,,,2024-03-01 09:13,Robi Rahman,,,United States of America,,,,,,,,,,,,Academia,,,,0
GloVe (32B),Language,Semantic embedding,"J Pennington, R Socher, CD Manning",Highly cited,,,https://nlp.stanford.edu/projects/glove/,28813.00,GloVe: Global Vectors for Word Representation,2014-01-01,Stanford University,120000000.00,400k vocab * 300 vector dimensions,,"""The total run-time is split between populating X
and training the model. The former depends on
many factors, including window size, vocabulary
size, and corpus size. Though we did not do so,
this step could easily be parallelized across multiple machines (see, e.g., Lebret and Collobert
(2014) for some benchmarks). Using a single
thread of a dual 2.1GHz Intel Xeon E5-2658 machine, populating X with a 10 word symmetric
context window, a 400,000 word vocabulary, and
a 6 billion token corpus takes about 85 minutes.
Given X, the time it takes to train the model depends on the vector size and the number of iterations. For 300-dimensional vectors with the above settings (and using all 32 cores of the above machine), a single iteration takes 14 minutes. See Fig. 4 for a plot of the learning curve""

""We run 50 iterations for vectors smaller than
300 dimensions, and 100 iterations otherwise (see
Section 4.6 for more details about the convergence
rate).""

But we are interested in the 42B token model",Common Crawl,,42000000000,"""We trained our model on five corpora of varying sizes: a 2010 Wikipedia dump with 1 billion tokens; a 2014 Wikipedia dump with 1.6 billion tokens; Gigaword 5 which has 4.3 billion tokens; the combination Gigaword5 + Wikipedia2014, which has 6 billion tokens; and on 42 billion tokens of web data, from Common Crawl

[To demonstrate the scalability of the model, we also trained it on a much larger sixth corpus, containing 840 billion tokens of web data, but in this case we did not lowercase the vocabulary, so the results are not directly comparable.]""",,,Embeddings are precalculated,,"Section 4.6 in original paper (https://nlp.stanford.edu/pubs/glove.pdf)

85 min to populate coocurrence matrix
+ 25 training iterations

Each iteration takes 14 minutes on 32 cores ",,,,,Academia,,,2024-03-01 09:13,Robi Rahman,,,United States of America,,,,,,,,,,,,Academia,,,,0
SPN-4+KN5,Language,,"W. Cheng, Stanley Kok, Hoai Vu Pham, Hai Leong Chieu, K. M. A. Chai",SOTA improvement,"""Our empirical comparisons with
six previous language models indicate that our SPN has superior
performance""",,https://spn.cs.washington.edu/papers/is14.pdf,102.00,Language modeling with sum-product networks,2014-01-01,"Singapore University of Technology & Design,DSO National Laboratories",5000000.00,,44000000000000000.00,,Penn TreeBank,,,,,,,,,,,,,,,,2024-02-21 22:23,Robi Rahman,SPN-4+KN5,,"Singapore,Singapore",,,,,,,,,,,,"Academia,Industry",,,,0
SPN-4,Language,,,,,,,,,2014-01-01,,,,,,,,,,,,,,,,,,,,Unverified,,2024-01-11 12:05,Robi Rahman,SPN-4,1,,,,,,,,,,,,,,,,,0
OverFeat,Vision,Image classification,"Pierre Sermanet, David Eigen, Xiang Zhang, Michael Mathieu, Rob Fergus, Yann LeCun",Highly cited,,,https://arxiv.org/abs/1312.6229,5148.00,"OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks",2013-12-21,New York University (NYU),,,,,,,,,,,,,,,,,,Academia,,,2024-01-30 16:26,Robi Rahman,,,United States of America,,,,,,,,,,,,Academia,,,,0
Image generation,Vision,Image clustering,"DP Kingma, M Welling",Highly cited,,,https://arxiv.org/abs/1312.6114,21760.00,Auto-Encoding Variational Bayes,2013-12-20,University of Amsterdam,,,475200000000000.00,"From https://openai.com/blog/ai-and-compute/ Appendix

""less than 0.0000055 pfs-days""
(86400*10^15*0.0000055)",MNIST,,60000,"""We trained generative models of images from the MNIST and Frey Face datasets""

MNIST has 60k images
https://en.wikipedia.org/wiki/MNIST_database

Frey Face has 2k images
https://cs.nyu.edu/~roweis/data.html",,,,,,,,$0.01,,Academia,,,2024-02-02 17:45,Robi Rahman,,,Netherlands,,,,,,,,,,,,Academia,,,,0
DOT(S)-RNN,Language,,"Razvan Pascanu, Caglar Gulcehre, Kyunghyun Cho, Yoshua Bengio",Highly cited,,,https://arxiv.org/abs/1312.6026,1255.00,How to Construct Deep Recurrent Neural Networks,2013-12-20,"Aalto University,Université de Montréal",6160000.00,,,,,,,,,,,,,,,,,,,,2024-03-05 07:43,Robi Rahman,DOT(S)-RNN,,"Finland,Canada",,,,,,,,,,,,"Academia,Academia",,,,0
DQN,Games,Atari,"V Mnih, K Kavukcuoglu, D Silver, A Graves",Highly cited,,,https://arxiv.org/abs/1312.5602,10085.00,Playing Atari with Deep Reinforcement Learning,2013-12-19,DeepMind,836096.00,"""The input to the neural network consists is an 84 × 84 × 4 image produced by φ. The first hidden layer convolves 16 8 × 8 filters with stride 4 with the input image and applies a rectifier nonlinearity [10, 18]. The second hidden layer convolves 32 4 × 4 filters with stride 2, again followed by a rectifier nonlinearity. The final hidden layer is fully-connected and consists of 256 rectifier units. The output layer is a fully connected linear layer with a single output for each valid action. The number of valid actions varied between 4 and 18 on the games we considered.""",2300000000000000.00,"Network is 84x84x3 input, 16, 8x8, stride 4, 32 4x4 stride 2, 256 fully connected
First layer: 20*20*3*16*8*8 = 1.23M add-multiplies
Second layer: 9*9*16*32*4*4 = 0.66M add-multiplies
Third layer: 9*9*32*256 = 0.66M add-mutliplies
Total ~ 2.55M add-multiplies
2.5 MFLOPs * 5M updates * 32 batch size * 2 multiply-add * 3 backward pass
= 2.3 PF = 2.7e-5 pfs-days

",,,,,,,,,,,,$0.04,,Industry,,,2024-03-01 09:19,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,Industry,,,,0
Network in Network,Vision,Image classification,"M Lin, Q Chen, S Yan",Highly cited,,,https://arxiv.org/abs/1312.4400,5636.00,Network In Network,2013-12-16,National University of Singapore,,,,,,,,,,,,,,,,,,Academia,,,2024-03-01 09:09,Robi Rahman,,,Singapore,,,,,,,,,,,,Academia,,,,0
Deep RNN,Language,,,,,,,,,2013-12-11,,,,,,,,,,64.00,,,,,,,,,,Unverified,,2024-01-11 12:05,Robi Rahman,Deep RNN,1,,,,,,,,,,,,,,,,,0
RNN for 1B words,Language,Language modelling,"Ciprian Chelba, Tomas Mikolov, Mike Schuster, Qi Ge, Thorsten Brants, Phillipp Koehn, Tony Robinson","Highly cited,SOTA improvement","from abstract: 'We show performance of several well-known types of language models, with the best results achieved with a recurrent neural network based language model. The baseline unpruned Kneser-Ney 5-gram model achieves perplexity 67.6; a combination of techniques leads to 35% reduction in perplexity, or 10% reduction in cross-entropy (bits), over that baseline. '",,https://arxiv.org/abs/1312.3005,1205.00,One Billion Word Benchmark for Measuring Progress in Statistical Language Modeling,2013-12-11,Google,20000000000.00,20B from Table 1,,"240 hours on 24 CPUs from Tabale 1. CPU model is not given, but there is mention of using SIMD instructions. 1 SIMD operation is around 4 FLOP. CPU can have around 3e9 operations per second. so around 12e9*24 * 240*3600 = 2.4e17 operations. This estimation doesn;t include use of multiple threads. Including use of threads we would probably have around 10 times more operations  so around 2.4e18 FLOPs. This estimation is speculative.",One Billion Word benchmark,"from abstract: ""With almost one billion words of training data, """,1000000000,"from abstract: 'With almost one billion words of training data, '",,,,240.0,"from Table 1,240 hours on 24 CPUs",,,,,,Speculative,"We propose a new benchmark corpus to be used for measuring progress in statistical language modeling. With almost one billion words of training data, we hope this benchmark will be useful to quickly evaluate novel language modeling techniques, and to compare their contribution when combined with other advanced techniques. We show performance of several well-known types of language models, with the best results achieved with a recurrent neural network based language model. The baseline unpruned Kneser-Ney 5-gram model achieves perplexity 67.6; a combination of techniques leads to 35% reduction in perplexity, or 10% reduction in cross-entropy (bits), over that baseline.
The benchmark is available as a this http URL project; besides the scripts needed to rebuild the training/held-out data, it also makes available log-probability values for each word in each of ten held-out data sets, for each of the baseline n-gram models. ",2024-03-03 16:45,Bartosz Podkanowicz,,,Multinational,,,,24,,,,,,,,Industry,,,,5760
DBLSTM,Speech,Speech recognition,"A Graves, N Jaitly, A Mohamed",Highly cited,,,https://ieeexplore.ieee.org/document/6707742,1532.00,Hybrid speech recognition with Deep Bidirectional LSTM,2013-12-08,University of Toronto,29900000.00,"""The DBLSTM network had five bidirectional hidden levels, with 500 LSTM cells in each of the forward and backward
layers, and a size 3385 softmax output layer, giving a total of
29.9M weights.""",,,,,,,,,,,,,,,,Academia,,,2024-01-19 18:25,Robi Rahman,,,Canada,,,,,,,,,,,,Academia,,,,0
TransE,Language,Entity embedding,"Antoine Bordes, Nicolas Usunier, Alberto Garcia- Duran, Jason Weston, and Oksana Yakhnenko",Highly cited,,,https://papers.nips.cc/paper/2013/hash/1cecc7a77928ca8133fa24680a88d2f9-Abstract.html,7039.00,Translating Embeddings for Modeling Multi- relational Data,2013-12-05,"Universite de Technologie de Compiègne – CNRS,Google",942000000.00,"Based on the TransE architecture, the authors give a formula for how the model size scales with the dimensionality of the dataset. The model scale is proportional to: k*(n_e+n_r) where k is the embeddings dimension, n_e is the number of entities, and n_r is the number of relationships.

They studied using the TransE model for two datasets: FB15k and FB1M. The FB15k model has 810000 parameters.

FB15k has 14951 entities and 1345 relationships. FB1M has 1000000 entities and 23382 relationships. Therefore, the FB1M model will be bigger than the FB15k model by a factor of (23382e6)/(14951*1345) => N = 8.1e5 * (23382e6)/(14951*1345) = 942e6.",1340928000000000000.00,"8 GPUs (they don't specify which, so I used the average for FP32 for 2017 from the write-up table)
8 hours 
0.33 util rate",,,17000000,"""it can be successfully trained on a large scale data set with 1M
entities, 25k relationships and more than 17M training samples""",,,,,,,,$17.58,,Industry,Speculative,,2024-01-23 13:49,Robi Rahman,,,"France,Multinational",,,,,,,,,,,,"Academia,Industry",,,,0
TensorReasoner,Language,,"R Socher, D Chen, CD Manning, A Ng",Highly cited,,,https://papers.nips.cc/paper/2013/hash/b337e84de8752b27eda3a12363109e80-Abstract.html,1845.00,Reasoning With Neural Tensor Networks for Knowledge Base Completion,2013-12-01,Stanford University,,,,,,,,,,,,,,,,,,Academia,,,2024-02-01 09:59,Robi Rahman,,,United States of America,,,,,,,,,,,,Academia,,,,0
Visualizing CNNs,Vision,Image classification,"MD Zeiler, R Fergus",Highly cited,,,https://arxiv.org/abs/1311.2901,14464.00,Visualizing and Understanding Convolutional Networks,2013-11-12,New York University (NYU),,,532000000000000000.00,"1 GPU * 12 days * 1.54 TFLOPS/GTX 580 * 0.33 utilization 
= 532 PF = 0.0062 pfs-days

Source: https://openai.com/blog/ai-and-compute",,,,,,,,,,NVIDIA GeForce GTX 580,,$9.02,,Academia,,,2024-03-01 09:13,Robi Rahman,,,United States of America,,,,,,,,,,,,Academia,,,,0
R-CNN (T-net),Vision,Object detection,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik",Highly cited,,,https://arxiv.org/abs/1311.2524,23021.00,Rich feature hierarchies for accurate object detection and semantic segmentation,2013-11-11,UC Berkeley,69003872.00,"Computed from architecture description in Caffee

https://nbviewer.jupyter.org/github/BVLC/caffe/blob/master/examples/detection.ipynb",,,,,,,,,,,,,,,,Academia,,,2024-02-01 10:26,Robi Rahman,,,United States of America,,,,,,,,,,,,Academia,,,,0
Word2Vec (small),Language,Semantic embedding,"T Mikolov, I Sutskever, K Chen, GS Corrado",Highly cited,,,https://arxiv.org/abs/1310.4546,31035.00,Distributed Representations of Words and Phrases and their Compositionality,2013-10-16,Google,207600000.00,"""We discarded from the vocabulary all words that occurred less than 5 times in the training data, which resulted in a vocabulary of size 692K [...] Starting with the same news data as in the previous experiments, we first constructed the phrase based training corpus and then we trained several Skip-gram models using different hyperparameters. As before, we used vector dimensionality 300 and context size 5.""",,,,,692000,"""For training the Skip-gram models, we have used a large dataset consisting of various news articles (an internal Google dataset with one billion words). We discarded from the vocabulary all words that occurred less than 5 times in the training data, which resulted in a vocabulary of size 692K""",,,,,,,,,,Industry,,,2024-02-01 09:59,Robi Rahman,,,Multinational,,,,,,,,,,,,Industry,,,,0
Word2Vec (large),Language,Semantic embedding,"T Mikolov, I Sutskever, K Chen, GS Corrado",Highly cited,,,https://arxiv.org/abs/1310.4546,31035.00,Distributed Representations of Words and Phrases and their Compositionality,2013-10-16,Google,692000000.00,"""To maximize the accuracy on the phrase analogy task, we increased the amount of the training data by using a dataset with about 33 billion words. We used the hierarchical softmax, dimensionality of 1000, and the entire sentence for the context.""",38880000000000000.00,"From https://openai.com/blog/ai-and-compute/ Appendix.

""less than 0.00045 pfs days""
(86400*10^15*0.00045)",,,33000000000,"""For training the Skip-gram models, we have used a large dataset consisting of various news articles (an internal Google dataset with one billion words). We discarded from the vocabulary all words that occurred less than 5 times in the training data, which resulted in a vocabulary of size 692K""",,,,,,,,$0.55,,Industry,,,2024-02-01 09:59,Robi Rahman,,,Multinational,,,,,,,,,,,,Industry,,,,0
