System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Organization categorization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Name of the hardware (from Training hardware),Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Organization (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Authors by country,Hardware quantity,Hardware utilization,Training cost trends
DLRM-12T,Recommendation,Recommender system,"Dheevatsa Mudigere, Yuchen Hao, Jianyu Huang, Zhihao Jia, Andrew Tulloch, Srinivas Sridharan, Xing Liu, Mustafa Ozdal, Jade Nie, Jongsoo Park, Liang Luo, Jie Amy Yang, Leon Gao, Dmytro Ivchenko, Aarti Basant, Yuxi Hu, Jiyan Yang, Ehsan K. Ardestani, Xiaodong Wang, Rakesh Komuravelli, Ching-Hsiang Chu, Serhat Yilmaz, Huayu Li, Jiyuan Qian, Zhuobo Feng, Yinbin Ma, Junjie Yang, Ellie Wen, Hong Li, Lin Yang, Chonglin Sun, Whitney Zhao, Dimitry Melts, Krishna Dhulipala, KR Kishore, Tyler Graf, Assaf Eisenman, Kiran Kumar Matam, Adi Gangidi, Guoqiang Jerry Chen, Manoj Krishnan, Avinash Nayak, Krishnakumar Nair, Bharath Muthiah, Mahmoud khorashadi, Pallab Bhattacharya, Petr Lapukhov, Maxim Naumov, Ajit Mathews, Lin Qiao, Mikhail Smelyanskiy, Bill Jia, Vijay Rao",,,,https://arxiv.org/abs/2104.05158,72.00,Software-Hardware Co-design for Fast and Scalable Training of Deep Learning Recommendation Models,2021-04-12,"Meta AI,Carnegie Mellon University (CMU)",Industry - Academia Collaboration (Industry leaning),12000000000000.00,They instantiated a 12T-parameter model to show that their hardware setup can train it despite the huge memory requirements.,,No training details provided.,,No training details provided.,,No training details provided.,,,No inference details provided.,,No training details provided.,NVIDIA A100,NVIDIA A100,,,No training details provided.,,Confident,"Deep learning recommendation models (DLRMs) are used across many business-critical services at Facebook and are the single largest AI application in terms of infrastructure demand in its data-centers. In this paper we discuss the SW/HW co-designed solution for high-performance distributed training of large-scale DLRMs. We introduce a high-performance scalable software stack based on PyTorch and pair it with the new evolution of Zion platform, namely ZionEX. We demonstrate the capability to train very large DLRMs with up to 12 Trillion parameters and show that we can attain 40X speedup in terms of time to solution over previous systems. We achieve this by (i) designing the ZionEX platform with dedicated scale-out network, provisioned with high bandwidth, optimal topology and efficient transport (ii) implementing an optimized PyTorch-based training stack supporting both model and data parallelism (iii) developing sharding algorithms capable of hierarchical partitioning of the embedding tables along row, column dimensions and load balancing them across multiple workers; (iv) adding high-performance core operators while retaining flexibility to support optimizers with fully deterministic updates (v) leveraging reduced precision communications, multi-level memory hierarchy (HBM+DDR+SSD) and pipelining. Furthermore, we develop and briefly comment on distributed data ingestion and other supporting services that are required for the robust and efficient end-to-end training in production environments.",2023-12-05 04:33,Anonymous,,,"Multinational,United States of America","Meta AI, Carnegie Mellon University (CMU)",,,,,,,
PLUG,Language,,,SOTA Improvement,Was a SOTA in CLUE 1.0 https://www.cluebenchmarks.com/classification10.html,,https://mp.weixin.qq.com/s/DAQomIkDa52Sef-ruyH5qg,0.00,,2021-04-19,Alibaba,Industry,27000000000.00,,3.5997695999999996e+22,128 Nvidia A100 for 35 days,,,,,,,,,,,,,,,,,,2023-11-26 03:25,Robi Rahman,,,China,Alibaba,,,,PLUG,,,
DiffQ Transformer (16L),Language,,"Alexandre Défossez, Yossi Adi, Gabriel Synnaeve",,,,https://arxiv.org/abs/2104.09987,24.00,Differentiable Model Compression via Pseudo Quantization Noise,2021-04-20,,,257000000.00,,3360000000000000000.00,,WikiText-103,,,,,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,DiffQ Transformer (16L),,,,,,,,,,
PanGu-α,Language,,"Wei Zeng, Xiaozhe Ren, Teng Su, Hui Wang, Yi LiaoZhiwei WangXin JiangZhenzhang YangKaisheng WangXiaoda ZhangChen LiZiyan GongYifan YaoXinjing HuangJun WangJianfeng YuQi GuoYue YuYan ZhangJin WangHengtao TaoDasen YanZexuan YiFang PengFangqing JiangHan ZhangLingfeng DengYehong ZhangZhe LinChao ZhangShaojie ZhangMingyue GuoShanzhi GuGaojun FanYaowei WangXuefeng JinQun LiuYonghong Tian",,,,https://arxiv.org/abs/2104.12369,138.00,PanGu-α: Large-scale Autoregressive Pretrained Chinese Language Models with Auto-parallel Computation,2021-04-25,Huawei Noah's Ark Lab,Industry,207000000000.00,"Table in https://git.openi.org.cn/PCL-Platform.Intelligence/PanGu-Alpha

Note: Directory of LLMs (https://docs.google.com/spreadsheets/d/1gc6yse74XCwBx028HV_cvdxwXkmXejVjkO-Mz2uwE0k/edit#gid=0)
gives a slightly lower estimate, not sure about source",5.83e+22,"source: https://lair.lighton.ai/akronomicon/

archived: https://github.com/lightonai/akronomicon/blob/main/akrodb/Huawei/PanGu-%CE%B1.json",,Custom dataset,200000000000,"""The composition of our corpus and the processing steps adopted to each data source is shown in Table 3.2.
Based on the new corpus, we construct two training datasets with 100GB and 1TB text data for our medium (2.6B and 13B) and large (200B) models, respectively""

1 TB = 1000 GB
1 GB ~ 200M words",,,,,,,,Self-supervised learning,$97802.06,,Industry,,"Large-scale Pretrained Language Models (PLMs) have become the new paradigm for Natural Language Processing (NLP). PLMs with hundreds of billions parameters such as GPT-3 have demonstrated strong performances on natural language understanding and generation with \textit{few-shot in-context} learning. In this work, we present our practice on training large-scale autoregressive language models named PanGu-α, with up to 200 billion parameters. PanGu-α is developed under the MindSpore and trained on a cluster of 2048 Ascend 910 AI processors. The training parallelism strategy is implemented based on MindSpore Auto-parallel, which composes five parallelism dimensions to scale the training task to 2048 processors efficiently, including data parallelism, op-level model parallelism, pipeline model parallelism, optimizer model parallelism and rematerialization. To enhance the generalization ability of PanGu-α, we collect 1.1TB high-quality Chinese data from a wide range of domains to pretrain the model. We empirically test the generation ability of PanGu-α in various scenarios including text summarization, question answering, dialogue generation, etc. Moreover, we investigate the effect of model scales on the few-shot performances across a broad range of Chinese NLP tasks. The experimental results demonstrate the superior capabilities of PanGu-α in performing various tasks under few-shot or zero-shot settings.",2023-12-05 04:33,Robi Rahman,,,China,Huawei Noah's Ark Lab,,,,,,,
SPALM + kNN,Language,,"Dani Yogatama, Cyprien de Masson d’Autume, Lingpeng Kong",,"paper says ""Our implementation produces results that are in the same range as state-of-the-art numbers, demonstrating the strength of our baselines"" I think this suggests it's close to, but not reaching SOTA?",,https://web.archive.org/web/20230210050534/https://direct.mit.edu/tacl/article/doi/10.1162/tacl_a_00371/100688/Adaptive-Semiparametric-Language-Models,70.00,Adaptive Semiparametric Language Models,2021-04-26,,Industry - Academia Collaboration,,,,,,,,,,,,,,,,,,,,,,2023-11-21 01:39,Robi Rahman,SPALM + kNN,,,,,,,,,,
GPT-J-6B,Language,,Aran Komatsuzaki,,,Fully open-source,https://arankomatsuzaki.wordpress.com/2021/06/04/gpt-j/,0.00,GPT-J-6B: 6B JAX-Based Transformer,2021-05-01,,Research collective,6053381344.00,source: model details table in GitHub,1.5e+22,source: zero shot evaluation table in GitHub,,,160000000000,"""The model was trained on 400B tokens from The Pile dataset with 800GB text.""

1 GB ~ 200M words",1.00,,,,,,,Self-supervised learning,$25176.80,,Industry,,,2023-11-23 06:53,Robi Rahman,GPT-J-6B,,,,,,,,,,
Transformer-XL + SIS,Language,,"Sagar Verma, Jean-Christophe Pesquet",,,,https://web.archive.org/web/20220122141508/http://proceedings.mlr.press/v139/verma21b/verma21b.pdf,10.00,Sparsifying Networks via Subdifferential Inclusion,2021-05-03,,Industry - Academia Collaboration,246000000.00,,10400000000000000000.00,,,,,,,,,,,,,,,,,,,2023-11-23 06:53,Robi Rahman,Transformer-XL + SIS,,,,,,,,,,
ProtT5-XXL,Other,Proteins,"A Elnaggar, M Heinzinger, C Dallago, G Rihawi",SOTA Improvement,"""For the per-residue predictions the transfer of the most informative embeddings (ProtT5) for the first time outperformed the state-of-the-art
without using evolutionary information""",,https://www.biorxiv.org/content/10.1101/2020.07.12.199554v3,396.00,ProtTrans: Towards Cracking the Language of Life’s Code Through Self-Supervised Learning,2021-05-04,"Technical University of Munich,Med AI Technology,NVIDIA,Oak Ridge National Laboratory,Google",Industry - Academia Collaboration,11000000000.00,"source: https://lair.lighton.ai/akronomicon/

archived: https://github.com/lightonai/akronomicon/tree/main/akrodb",7.370000000000001e+22,"source: https://lair.lighton.ai/akronomicon/

archived: https://github.com/lightonai/akronomicon/tree/main/akrodb",UniRef; BDF,,393000000000,"""Here, we trained two auto-regressive models (Transformer-XL, XLNet) and four auto-encoder models (BERT, Albert, Electra, T5) on data from UniRef and BFD containing up to 393 billion amino acids.""",,,,,,,,Self-supervised learning,$123918.36,,Industry,,"Computational biology and bioinformatics provide vast data gold-mines from protein sequences, ideal for Language Models taken from NLP. These LMs reach for new prediction frontiers at low inference costs. Here, we trained two auto-regressive models (Transformer-XL, XLNet) and four auto-encoder models (BERT, Albert, Electra, T5) on data from UniRef and BFD containing up to 393 billion amino acids. The LMs were trained on the Summit supercomputer using 5616 GPUs and TPU Pod up-to 1024 cores. Dimensionality reduction revealed that the raw protein LM-embeddings from unlabeled data captured some biophysical features of protein sequences. We validated the advantage of using the embeddings as exclusive input for several subsequent tasks. The first was a per-residue prediction of protein secondary structure (3-state accuracy Q3=81%-87%); the second were per-protein predictions of protein sub-cellular localization (ten-state accuracy: Q10=81%) and membrane vs. water-soluble (2-state accuracy Q2=91%). For the per-residue predictions the transfer of the most informative embeddings (ProtT5) for the first time outperformed the state-of-the-art without using evolutionary information thereby bypassing expensive database searches. Taken together, the results implied that protein LMs learned some of the grammar of the language of life. To facilitate future work, we released our models at https://github.com/agemagician/ProtTrans.",2023-11-26 03:25,Robi Rahman,,,"Germany,China,United States of America,United States of America,Multinational","Technical University of Munich, Med AI Technology, NVIDIA, Oak Ridge National Laboratory, Google",,,,ProtT5-XXL,,,
ADM,Drawing,Image generation,"Prafulla Dhariwal, Alex Nichol","Highly cited,SOTA Improvement","""We show that diffusion models can achieve image sample quality superior to the current state-of-the-art generative models""",,https://arxiv.org/abs/2105.05233,2573.00,Diffusion Models Beat GANs on Image Synthesis,2021-05-11,OpenAI,Industry,,,499999999999999930000.00,"For LSUN horse, they report 116 V100-days in pre-training.

125 teraFLOP/s * 116 * 24 * 3600 * 0.4 = 5e20",LSUN,"""To evaluate our improved model architecture on unconditional image generation, we train separate diffusion models on three LSUN [71] classes: bedroom, horse, cat""",,,,,,,,NVIDIA V100,NVIDIA V100,,,,,Likely,"We show that diffusion models can achieve image sample quality superior to the current state-of-the-art generative models. We achieve this on unconditional image synthesis by finding a better architecture through a series of ablations. For conditional image synthesis, we further improve sample quality with classifier guidance: a simple, compute-efficient method for trading off diversity for fidelity using gradients from a classifier. We achieve an FID of 2.97 on ImageNet 128×128, 4.59 on ImageNet 256×256, and 7.72 on ImageNet 512×512, and we match BigGAN-deep even with as few as 25 forward passes per sample, all while maintaining better coverage of the distribution. Finally, we find that classifier guidance combines well with upsampling diffusion models, further improving FID to 3.94 on ImageNet 256×256 and 3.85 on ImageNet 512×512.",2023-12-05 04:33,Anonymous,,,United States of America,OpenAI,,,,ADM,,,
Fairseq + UID: variance,Language,,"Jason Wei, Clara Meister, Ryan Cotterell",,,,https://web.archive.org/web/20221010230611/https://arxiv.org/pdf/2105.07144.pdf,16.00,A Cognitive Regularizer for Language Modeling,2021-05-15,,Academia,,,,,,,,,,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,Fairseq + UID: variance,,,,,,,,,,
ConSERT,Language,Language modelling,"Yuanmeng Yan, Rumei Li, Sirui Wang, Fuzheng Zhang, Wei Wu, Weiran Xu",SOTA Improvement,Trains an effective BERT model on small sample sizes and achieves an 8% improvement over previous SOTA on STA datasets.,,https://arxiv.org/abs/2105.11741,344.00,ConSERT: A contrastive framework for self-supervised sentence representation transfer,2021-05-25,"Meituan University,Beijing University of Posts and Telecommunications",Academia,345000000.00,,280000000000000000000.00,"Fine-tuning was done using a single Nvidia V100 GPU for a few minutes -> 1.0E+15 to 5.0E+15 (2 to 10 min)

Foundation model is BeRT with 2.8e+20 FLOP.

So total compute is 2.8e+20.",,,,,,,,0.1,,NVIDIA Tesla V100S PCIe 32 GB,NVIDIA Tesla V100S PCIe 32 GB,,,,,Likely,"Learning high-quality sentence representations benefits a wide range of natural language processing tasks. Though BERT-based pre-trained language models achieve high performance on many downstream tasks, the native derived sentence representations are proved to be collapsed and thus produce a poor performance on the semantic textual similarity (STS) tasks. In this paper, we present ConSERT, a Contrastive Framework for Self-Supervised Sentence Representation Transfer, that adopts contrastive learning to fine-tune BERT in an unsupervised and effective way. By making use of unlabeled texts, ConSERT solves the collapse issue of BERT-derived sentence representations and make them more applicable for downstream tasks. Experiments on STS datasets demonstrate that ConSERT achieves an 8\% relative improvement over the previous state-of-the-art, even comparable to the supervised SBERT-NLI. And when further incorporating NLI supervision, we achieve new state-of-the-art performance on STS tasks. Moreover, ConSERT obtains comparable results with only 1000 samples available, showing its robustness in data scarcity scenarios.",2023-12-05 04:33,Anonymous,,,"China,China","Meituan University, Beijing University of Posts and Telecommunications",,,,ConSERT,,,
Transformer local-attention (NesT-B),Vision,,"Zizhao Zhang, Han Zhang, Long Zhao, Ting Chen, Sercan Arık, Tomas Pfister",Highly cited,,,https://arxiv.org/abs/2105.12723v4,5734.00,"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding",2021-05-26,"Google Cloud,Google Research",Industry,90100000.00,"Table A2, NesT-B is the largest size.",24057600000000000000.00,"17.9 GFLOPS per forward pass
300 epochs
1.28M training examples
3.5 f_to_b pass ratio
(From Imagenet paper-data, Besiroglu et al., forthcoming) ",Imagenet-1k,,1280000,,,,,,,,,Self-supervised learning,$39.51,,Industry,,"Hierarchical structures are popular in recent vision transformers, however, they require sophisticated designs and massive datasets to work well. In this paper, we explore the idea of nesting basic local transformers on non-overlapping image blocks and aggregating them in a hierarchical way. We find that the block aggregation function plays a critical role in enabling cross-block non-local information communication. This observation leads us to design a simplified architecture that requires minor code changes upon the original vision transformer. The benefits of the proposed judiciously-selected design are threefold: (1) NesT converges faster and requires much less training data to achieve good generalization on both ImageNet and small datasets like CIFAR; (2) when extending our key ideas to image generation, NesT leads to a strong decoder that is 8× faster than previous transformer-based generators; and (3) we show that decoupling the feature learning and abstraction processes via this nested hierarchy in our design enables constructing a novel method (named GradCAT) for visually interpreting the learned model. Source code is available this https URL.",2023-11-26 03:25,Robi Rahman,,,"Multinational,Multinational","Google Cloud, Google Research",,,,Transformer local-attention (NesT-B),,,
CogView,Drawing,Text-to-image,"M Ding, Z Yang, W Hong, W Zheng, C Zhou",SOTA Improvement,"""CogView achieves the state-of-the-art FID on the blurred MS COCO dataset, outperforming previous GAN-based models and a recent similar work DALL-E""",,https://arxiv.org/abs/2105.13290,399.00,CogView: Mastering Text-to-Image Generation via Transformers,2021-05-26,"Tsinghua University,DAMO Academy",Industry - Academia Collaboration (Academia leaning),4000000000.00,"""We propose CogView, a 4-billion-parameter Transformer with VQ-VAE tokenizer to advance this problem.""",2.68e+22,"source: https://lair.lighton.ai/akronomicon/

archived: https://github.com/lightonai/akronomicon/tree/main/akrodb",,"""We collected about 30 million text-image pairs from multiple channels, and built a 2.5TB new dataset (after tokenization, the size becomes about 250GB).""",50000000000,"""We collected about 30 million text-image pairs from multiple channels, and built a 2.5TB new dataset (after tokenization, the size becomes about 250GB).""

250GB * (1 word / 5 bytes) = 50 billion words or 67 billion tokens

So 30M text-image pairs and 50 billion words",,,,,,NVIDIA Tesla V100 DGXS 16 GB,NVIDIA Tesla V100 DGXS 16 GB,Self-supervised learning,$44452.39,,Industry,,"Text-to-Image generation in the general domain has long been an open problem, which requires both a powerful generative model and cross-modal understanding. We propose CogView, a 4-billion-parameter Transformer with VQ-VAE tokenizer to advance this problem. We also demonstrate the finetuning strategies for various downstream tasks, e.g. style learning, super-resolution, text-image ranking and fashion design, and methods to stabilize pretraining, e.g. eliminating NaN losses. CogView achieves the state-of-the-art FID on the blurred MS COCO dataset, outperforming previous GAN-based models and a recent similar work DALL-E.",2023-12-05 04:33,Robi Rahman,,,"China,China","Tsinghua University, DAMO Academy",,,,CogView,,,
ByT5-XXL,Language,Language modelling,"Linting Xue, Aditya Barua, Noah Constant, Rami Al-Rfou, Sharan Narang, Mihir Kale, Adam Roberts, Colin Raffel",SOTA Improvement,"""On the most realistic in-language setting, where some gold training data is available in all languages, ByT5 surpasses the previous state-of-art mT5 on all tasks and model sizes""",Permissive license,https://arxiv.org/abs/2105.13626,235.00,ByT5: Towards a token-free future with pre-trained byte-to-byte models,2021-05-28,Google,Industry,12900000000.00,"12.9B, from Table 1",8.1e+22,"""Like mT5, we set our sequence
length to 1024 (bytes rather than tokens), and train
for 1 million steps over batches of 2^20 tokens.""

12.9 billion * 1 million * 2^20 * 6 = ~8.1e22",mC4,,,,,,,,,Google TPU v3,Google TPU v3,,,,,Likely,"Most widely-used pre-trained language models operate on sequences of tokens corresponding to word or subword units. By comparison, token-free models that operate directly on raw text (bytes or characters) have many benefits: they can process text in any language out of the box, they are more robust to noise, and they minimize technical debt by removing complex and error-prone text preprocessing pipelines. Since byte or character sequences are longer than token sequences, past work on token-free models has often introduced new model architectures designed to amortize the cost of operating directly on raw text. In this paper, we show that a standard Transformer architecture can be used with minimal modifications to process byte sequences. We characterize the trade-offs in terms of parameter count, training FLOPs, and inference speed, and show that byte-level models are competitive with their token-level counterparts. We also demonstrate that byte-level models are significantly more robust to noise and perform better on tasks that are sensitive to spelling and pronunciation. As part of our contribution, we release a new set of pre-trained byte-level Transformer models based on the T5 architecture, as well as all code and data used in our experiments.",2023-12-05 04:33,Anonymous,,0,Multinational,Google,,,,,,,
Wu Dao 2.0,Multimodal,,,,,,https://www.engadget.com/chinas-gigantic-multi-modal-ai-is-no-one-trick-pony-211414388.html,0.00,China's gigantic multi-modal AI is no one-trick pony,2021-05-31,Beijing Academy of Artificial Intelligence,Non-profit,1750000000000.00,"""It's been trained on 1.75 trillion parameters""",,"It's a mixture-of-experts model, so 1.75 trillion params likely overstates how much compute was required:

""The parameter scale of Enlightenment 2.0 reached a record-breaking 1.75 trillion. According to reports, the new generation FastMoE technology is the key to the realization of the ""Trillion Model"" cornerstone of Enlightenment 2.0.""

",WuDao Corpora,"WuDao Corpora, as of version 2.0, was a large dataset constructed for training Wu Dao 2.0. It contains 3 terabytes of text scraped from web data, 90 terabytes of graphical data (incorporating 630 million text/image pairs), and 181 gigabytes of Chinese dialogue (incorporating 1.4 billion dialogue rounds).
https://en.wikipedia.org/wiki/Wu_Dao#WuDao_Corpora",,,,,,,,,,,,,Industry,,,2023-12-13 07:35,Robi Rahman,,,China,Beijing Academy of Artificial Intelligence,,,,,,,
CODA,Language,,"Lin Zheng, Zhiyong Wu, Lingpeng Kong",,,,https://arxiv.org/pdf/2105.14850,2.00,Cascaded Head-colliding Attention,2021-05-31,,,247000000.00,,,,,,,,,,,,,,,,,,,,,2023-11-21 01:39,Robi Rahman,CODA,,,,,,,,,,
GPT2-Large+LHOPT,Language,,"Diogo Almeida, Clemens Winter, Jie Tang, Wojciech Zaremba",,,,https://web.archive.org/web/20221027150413/https://arxiv.org/pdf/2106.00958.pdf,19.00,A Generalizable Approach to Learning Optimizers,2021-06-02,,,760000000.00,,1.6e+21,,,,,,1.00,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,GPT2-Large+LHOPT,,,,,,,,,,
AFP+FPI (PTB),Language,,"Zhengxiong Wang, Anton Ragni",,,,https://arxiv.org/pdf/2106.02417,2.00,Approximate Fixed-Points in Recurrent Neural Networks,2021-06-04,,,2040000.00,,227000000000000.00,,Penn TreeBank,,,,20.00,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,AFP+FPI (PTB),,,,,,,,,,
AFP+FPI (WT2),Language,,,,,,,,,2021-06-04,,,,,,,,,,,40.00,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,AFP+FPI (WT2),1,,,,,,,,,
ViT-G/14,Vision,,"X Zhai, A Kolesnikov, N Houlsby, L Beyer",SOTA Improvement,"""we successfully train a ViT model with two billion parameters, which attains a new state-of-the-art on ImageNet of 90.45% top-1 accuracy""",,https://arxiv.org/abs/2106.04560,622.00,Scaling Vision Transformers,2021-06-08,Google Brain,Industry,1843000000.00,Table 2 of paper,3.4e+21,"source: https://lair.lighton.ai/akronomicon/

archived: https://github.com/lightonai/akronomicon/tree/main/akrodb


Alternatively: per paper, ViT-G required between 20-30k TPUv3-days to train (from eyeballing the tick marks in Figure 9)

123 trillion * 25,000 * 3600 * 0.4 = 4.4e21

",JFT-3B,,3000000000,"""For this study, we use the proprietary JFT-3B dataset, a larger version of the JFT-300M dataset used
in many previous works on large-scale computer vision models [31, 18, 11]. This dataset consists of
nearly 3 billion images, annotated with a class-hierarchy of around 30k labels via a semi-automatic
pipeline""",,,,,,Google TPU v3,Google TPU v3,Self-supervised learning,$5541.84,,Industry,Likely,"Attention-based neural networks such as the Vision Transformer (ViT) have recently attained state-of-the-art results on many computer vision benchmarks. Scale is a primary ingredient in attaining excellent results, therefore, understanding a model's scaling properties is a key to designing future generations effectively. While the laws for scaling Transformer language models have been studied, it is unknown how Vision Transformers scale. To address this, we scale ViT models and data, both up and down, and characterize the relationships between error rate, data, and compute. Along the way, we refine the architecture and training of ViT, reducing memory consumption and increasing accuracy of the resulting models. As a result, we successfully train a ViT model with two billion parameters, which attains a new state-of-the-art on ImageNet of 90.45% top-1 accuracy. The model also performs well for few-shot transfer, for example, reaching 84.86% top-1 accuracy on ImageNet with only 10 examples per class.",2023-12-05 04:33,Robi Rahman,,,Multinational,Google Brain,,,,ViT-G/14,,,
CoAtNet,Vision,Image Classification,"Zihang Dai, Hanxiao Liu, Quoc V. Le, Mingxing Tan",SOTA Improvement,"""Notably, when we further scale up CoAtNet with JFT-3B, it achieves 90.88% top-1 accuracy on ImageNet, establishing a new state-of-the-art result.""",,https://arxiv.org/abs/2106.04803v2,777.00,"CoAtNet: Marrying Convolution and Attention
for All Data Sizes",2021-06-09,Google,Industry,2440000000.00,,8.5e+22,"20.1K TPU-v3 core-days

123 teraflop/s * 20100 * 24 * 3600 * 0.4 (utilization assumption) = 8.5e22","ImageNet, JFT",,,,,2586000000000.00,"2586B FLOP, per table 5, for 512x512 image",,,Google TPU v3,Google TPU v3,,,,,Likely,"Transformers have attracted increasing interests in computer vision, but they still fall behind state-of-the-art convolutional networks. In this work, we show that while Transformers tend to have larger model capacity, their generalization can be worse than convolutional networks due to the lack of the right inductive bias. To effectively combine the strengths from both architectures, we present CoAtNets (pronounced “coat” nets), a family of hybrid models built from two key insights: (1) depthwise Convolution and self-Attention can be naturally unified via simple relative attention; (2) vertically stacking convolution layers and attention layers in a principled way is surprisingly effective in improving generalization, capacity and efficiency. Experiments show that our CoAtNets achieve state-of-the-art performance under different resource constraints across various datasets: Without extra data, CoAtNet achieves 86.0% ImageNet top-1 accuracy; When pre-trained with 13M images from ImageNet-21K, our CoAtNet achieves 88.56% top-1 accuracy, matching ViT-huge pre-trained with 300M images from JFT-300M while using 23x less data; Notably, when we further scale up CoAtNet with JFT-3B, it achieves 90.88% top-1 accuracy on ImageNet, establishing a new state-of-the-art result.",2023-11-26 03:25,Anonymous,,,Multinational,Google,,,,CoAtNet,,,
DeBERTa,Language,,"Pengcheng He, Xiaodong Liu, Jianfeng Gao, Weizhu Chen",SOTA Improvement,"""DeBERTa significantly outperforms all existing PLMs of similar size on MNLI and creates a new state of the art""",,https://arxiv.org/abs/2006.03654,1357.00,DeBERTa: Decoding-enhanced BERT with Disentangled Attention,2021-06-10,Microsoft,Industry,1500000000.00,"""...we scale up DeBERTa by training a larger version that consists of 48 Transform layers with 1.5 billion parameters""

Other versions are smaller and use a smaller pre-training dataset. These are distinguished in the paper (e.g. DeBERTa1.5B is the version of DeBERTa with 1.5 billion parameters).",6.00000000001e+21,"From section 5.1.1: ""We use 6 DGX-2 machines (96 V100 GPUs) to train the models. A single model trained with 2K batch size and 1M steps takes about 20 days."" 

This specifically refers to the largest models referred to in the paper, and smaller models are described elsewhere, but I'm assuming the large models are what we care about here. 

Apparently there are multiple types of GPUs referred to as V100s. I'm guessing these are NVIDIA Tesla SMX2s.",,,15600000000,""" DeBERTa is pretrained on 78G training data""

1GB ~ 200M words",,,,,,,,Self-supervised learning,,,Industry,,"Recent progress in pre-trained neural language models has significantly improved the performance of many natural language processing (NLP) tasks. In this paper we propose a new model architecture DeBERTa (Decoding-enhanced BERT with disentangled attention) that improves the BERT and RoBERTa models using two novel techniques. The first is the disentangled attention mechanism, where each word is represented using two vectors that encode its content and position, respectively, and the attention weights among words are computed using disentangled matrices on their contents and relative positions, respectively. Second, an enhanced mask decoder is used to incorporate absolute positions in the decoding layer to predict the masked tokens in model pre-training. In addition, a new virtual adversarial training method is used for fine-tuning to improve models' generalization. We show that these techniques significantly improve the efficiency of model pre-training and the performance of both natural language understanding (NLU) and natural langauge generation (NLG) downstream tasks. Compared to RoBERTa-Large, a DeBERTa model trained on half of the training data performs consistently better on a wide range of NLP tasks, achieving improvements on MNLI by +0.9% (90.2% vs. 91.1%), on SQuAD v2.0 by +2.3% (88.4% vs. 90.7%) and RACE by +3.6% (83.2% vs. 86.8%). Notably, we scale up DeBERTa by training a larger version that consists of 48 Transform layers with 1.5 billion parameters. The significant performance boost makes the single DeBERTa model surpass the human performance on the SuperGLUE benchmark (Wang et al., 2019a) for the first time in terms of macro-average score (89.9 versus 89.8), and the ensemble DeBERTa model sits atop the SuperGLUE leaderboard as of January 6, 2021, out performing the human baseline by a decent margin (90.3 versus 89.8).",2023-12-05 04:33,Robi Rahman,,,Multinational,Microsoft,,,,DeBERTa,,,
